Zeroes,Ones,Twos,Threes,Fours,Fives,Sixes,Sevens,Eights,Nines
0.403125,0.2875,0.341666667,0.426470588,0.234210526,0.2875,0.413333333,0.31875,0.41,0.335714286
0.397058824,0.575,0.294444444,0.434615385,0.255555556,0.221428571,0.285,0.369047619,0.35,0.3
0.5875,0.575,0.452777778,0.3775,0.357894737,0.228125,0.333333333,0.270588235,0.435714286,0.35
0.471875,0.525,0.41,0.505555556,0.305,0.275,0.554166667,0.285,0.420833333,0.271875
0.508823529,0.283333333,0.313888889,0.340625,0.264285714,0.253571429,0.483333333,0.317647059,0.397058824,0.38
0.483333333,0.271875,0.4875,0.267857143,0.489285714,0.336363636,0.520833333,0.271875,0.346875,0.353571429
0.511111111,0.59,0.332142857,0.390625,0.38125,0.375,0.425,0.313333333,0.419230769,0.42
0.2725,0.291666667,0.503125,0.333333333,0.285714286,0.35,0.385714286,0.240625,0.421428571,0.266666667
0.573333333,0.29,0.395,0.441666667,0.332352941,0.26,0.36875,0.317647059,0.392857143,0.3625
0.475,0.383333333,0.30625,0.25,0.273684211,0.25,0.416666667,0.329166667,0.483333333,0.45
0.546428571,0.625,0.382142857,0.366666667,0.295454545,0.32,0.473076923,0.275,0.357692308,0.382142857
0.391176471,0.318181818,0.41,0.361764706,0.278125,0.389285714,0.426923077,0.27,0.338888889,0.371428571
0.55,0.38,0.383333333,0.471052632,0.2375,0.267857143,0.458333333,0.296875,0.353846154,0.454166667
0.338888889,0.265,0.45,0.361538462,0.326470588,0.308333333,0.496153846,0.263636364,0.483333333,0.444444444
0.469444444,0.975,0.291666667,0.3525,0.364285714,0.318421053,0.5,0.273529412,0.311764706,0.3125
0.35,0.408333333,0.36,0.296428571,0.282142857,0.309375,0.4,0.288461538,0.305555556,0.28125
0.488888889,0.329166667,0.447222222,0.44375,0.281578947,0.567857143,0.442857143,0.228571429,0.402941176,0.358333333
0.455,0.7,0.482142857,0.366666667,0.309375,0.31875,0.460714286,0.483333333,0.405,0.378571429
0.359375,0.319230769,0.355555556,0.392105263,0.459375,0.371875,0.364285714,0.333333333,0.459375,0.354166667
0.553571429,0.42,0.414285714,0.357894737,0.334615385,0.328125,0.455,0.289473684,0.453125,0.321875
0.436666667,0.641666667,0.441666667,0.340625,0.457142857,0.367857143,0.392857143,0.321875,0.367857143,0.435
0.39,0.30625,0.36,0.373684211,0.303846154,0.352777778,0.446875,0.36,0.47,0.407692308
0.397368421,0.491666667,0.38125,0.344444444,0.433333333,0.289285714,0.353571429,0.316666667,0.358333333,0.353571429
0.292857143,0.391666667,0.344444444,0.372222222,0.307142857,0.341666667,0.325,0.384615385,0.453333333,0.395833333
0.428571429,0.386363636,0.408333333,0.240625,0.296666667,0.246875,0.3125,0.282142857,0.365625,0.278125
0.37,0.53,0.258333333,0.347222222,0.341666667,0.440625,0.393333333,0.353571429,0.575,0.289285714
